Date,Unemployment_interpolated,Bank Interest Rate,Change_in_GDP,Unemployment,CPI_all-items,CPI_food,CPI_shelter,CPI_household_op,CPI_clothing,CPI_transportation,CPI_health,CPI_rec,CPI_alcohol,CPI_no-food,CPI_no-food-and-energy,GDP,FEX_AUS,FEX_BRA,FEX_CHN,FEX_EUR,FEX_HK,FEX_IND,FEX_IDN,FEX_JAP,FEX_MAL,FEX_MEX,FEX_NZL,FEX_NOR,FEX_PER,FEX_RUS,FEX_SAU,FEX_SGP,FEX_ZAR,FEX_KOR,FEX_SWE,FEX_SWI,FEX_TAI,FEX_THA,FEX_TUR,FEX_UNK,FEX_USA,FEX_VIE,FEX_CAD,AWE_industrial-aggregate,AWE_goods,AWE_forestry,AWE_mining,AWE_utilities,AWE_construction,AWE_manufacturing,AWE_service,AWE_trade,AWE_transport,AWE_info-and-culture,AWE_finance,AWE_real-estate,AWE_professional,AWE_mangement,AWE_admin,AWE_education,AWE_health,AWE_arts,AWE_accom,AWE_other,AWE_public-admin,IMT_import,IMT_export,IMT_trade-bal,ITSI_total,ITSI_commercial,ITSI_travel,ITSI_transport,ITSI_gov,ITSE_total,ITSE_commerical,ITSE_travel,ITSE_transport,ITSE_gov,ITSB_total,ITSB_commercial,ITSB_travel,ITSB_transport,ITSB_gov,HPI_total,HPI_house,HPI_land
1976-01,7.1,9,4.673333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-02,7.175,9,6.036666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-03,7.25,9.391304348,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-04,7.325,9.5,7.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-05,7.4,9.5,8.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-06,7.475,9.5,8.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-07,7.55,9.5,6.243333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-08,7.625,9.5,3.976666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-09,7.7,9.5,1.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-10,7.775,9.5,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-11,7.85,9.340909091,0.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-12,7.925,8.826086957,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1977-01,8,8.5,2.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1977-02,8.033333333,8,4.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1977-03,8.066666667,8,6.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1977-04,8.1,8,5.063333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1977-05,8.133333333,7.613636364,3.436666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1977-06,8.166666667,7.5,1.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1977-07,8.2,7.5,1.846666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1977-08,8.233333333,7.5,1.883333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1977-09,8.266666667,7.5,1.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1977-10,8.3,7.5,3.463333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1977-11,8.333333333,7.5,5.006666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1977-12,8.366666667,7.5,6.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1978-01,8.4,7.5,5.896666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1978-02,8.325,7.5,5.243333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1978-03,8.25,7.869565217,4.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1978-04,8.175,8.475,4.076666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1978-05,8.1,8.5,3.563333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1978-06,8.025,8.5,3.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1978-07,7.95,8.595238095,3.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1978-08,7.875,9,3.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1978-09,7.8,9.333333333,3.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1978-10,7.725,9.909090909,3.536666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1978-11,7.65,10.68181818,3.633333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1978-12,7.575,10.75,3.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-01,7.5,11.20652174,3.796666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-02,7.5,11.25,3.863333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-03,7.5,11.25,3.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-04,7.5,11.25,4.393333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-05,7.5,11.25,4.856666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-06,7.5,11.25,5.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-07,7.5,11.40909091,4.483333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-08,7.5,11.75,3.646666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-09,7.5,12.125,2.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-10,7.5,13.02173913,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-11,7.5,14,2.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-12,7.5,14,2.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-01,7.5,14,2.896666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-02,7.508333333,14,3.313333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-03,7.516666667,14.44619048,3.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-04,7.525,15.99272727,2.196666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-05,7.533333333,13.51636364,0.6633333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-06,7.541666667,11.24904762,-0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-07,7.55,10.38565217,-0.6266666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-08,7.558333333,10.39142857,-0.3833333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-09,7.566666667,10.84636364,-0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-10,7.575,11.74869565,1.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-11,7.583333333,12.8515,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-12,7.591666667,16.05956522,4.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981-01,7.6,17.06227273,6.503333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.2,36.1,40.6E
1981-02,7.883333333,17.1245,8.436666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.7,36.5,41.0E
1981-03,8.166666667,16.92272727,10.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.3,37.3,41.1E
1981-04,8.45,17.07772727,8.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.9,38.1,41.2E
1981-05,8.733333333,18.64333333,6.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.38696898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.6,38.9,41.5E
1981-06,9.016666667,19.02545455,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.2114971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.8,39.1,41.6E
1981-07,9.3,19.37217391,1.743333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.8157951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.8,39.2,41.6E
1981-08,9.583333333,21.0252381,-0.9133333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.52691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.6,39,41.5E
1981-09,9.866666667,20.13590909,-3.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.1165075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.4,39,40.9E
1981-10,10.15,18.73727273,-2.796666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.5179924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.3,38.8,40.9E
1981-11,10.43333333,16.49238095,-2.023333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.1080673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.2,38.8,40.4E
1981-12,10.71666667,15.13086957,-1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.47228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.3,38.9,40.5E
1982-01,11,14.72238095,-2.346666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.5837954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.3,39.1,40.5E
1982-02,11.08333333,14.759,-3.443333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.4830196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.3,38.9,40.6E
1982-03,11.16666667,15.04956522,-4.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.6085177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.1,38.6,40.7E
1982-04,11.25,15.33818182,-4.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.7801627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.9,38.5,40.6E
1982-05,11.33333333,15.30619048,-4.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.9923792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.6,38.1,40.1E
1982-06,11.41666667,16.23,-4.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.82980669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.3,38.1,39.5E
1982-07,11.5,16.14772727,-4.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.8545441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,38,38.5E
1982-08,11.58333333,14.81136364,-3.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.3045956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.8,37.8,38.2E
1982-09,11.66666667,13.50363636,-3.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.3213562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.4,37.6,37.5E
1982-10,11.75,12.06619048,-3.403333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.3944397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.3,37.4,37.5E
1982-11,11.83333333,11.02045455,-3.346666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.280072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,37.3,37.0E
1982-12,11.91666667,10.58347826,-3.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.3151205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.9,37.2,37.0E
1983-01,12,9.813809524,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.8820952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.9,37.3,36.8E
1983-02,11.94166667,9.68,3.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.7781433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.9,37.2,36.8E
1983-03,11.88333333,9.466956522,6.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.3449169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.8,37.2,37.0E
1983-04,11.825,9.47,7.046666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.033431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.8,37,37.2E
1983-05,11.76666667,9.364090909,7.363333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.2594282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.7,36.9,37.2E
1983-06,11.70833333,9.498181818,7.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.0430005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.8,37,37.4E
1983-07,11.65,9.481428571,6.596666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.5101582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.8,37,37.4E
1983-08,11.59166667,9.583478261,5.513333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.4251016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,37.2,37.2E
1983-09,11.53333333,9.517272727,4.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.4984512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,37.2,37.3E
1983-10,11.475,9.468571429,4.683333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.6713227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.9,37.2,37.2E
1983-11,11.41666667,9.555909091,4.936666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.1386257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,37.3,37.4E
1983-12,11.35833333,9.939545455,5.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.9190356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.9,37.2,37.2E
1984-01,11.3,9.977272727,5.656666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.2884525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,37.2,37.3E
1984-02,11.23333333,10.00380952,6.123333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.5409932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,37.4,37.3E
1984-03,11.16666667,10.43227273,6.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.3988206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.1,37.5,37.3E
1984-04,11.1,10.80714286,6.826666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.0993637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.2,37.6,37.4E
1984-05,11.03333333,11.46173913,7.063333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.3124303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.2,37.6,37.4E
1984-06,10.96666667,11.84904762,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.6809188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.1,37.4,37.4E
1984-07,10.9,12.96818182,5.416666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.5668317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.1,37.4,37.4E
1984-08,10.83333333,12.49086957,3.533333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.4720658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,37.3,37.4E
1984-09,10.76666667,12.346,1.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.963793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.9,37.2,37.3E
1984-10,10.7,12.10043478,3.036666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.1383495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.9,37.2,37.2E
1984-11,10.63333333,11.22727273,4.423333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.666628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.8,37.2,37.0E
1984-12,10.56666667,10.46047619,5.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.6430277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.9,37.3,37.0E
1985-01,10.5,9.796956522,5.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.3731489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,37.4,37.1E
1985-02,10.425,10.461,5.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.4923226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,37.4,37.2E
1985-03,10.35,11.46571429,6.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.073159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.1,37.5,37.3E
1985-04,10.275,10.23954545,4.596666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.5227568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.1,37.5,37.3E
1985-05,10.2,9.825652174,3.173333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.9444599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.1,37.4,37.5E
1985-06,10.125,9.6295,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.3643575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.3,37.6,37.8E
1985-07,10.05,9.432173913,3.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.2392418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.4,37.7,37.8E
1985-08,9.975,9.277272727,4.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.9289211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.5,38,38.0E
1985-09,9.9,9.219047619,5.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.5122898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.8,38.1,38.2E
1985-10,9.825,8.857826087,5.956666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.2510824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.9,38.4,38.2E
1985-11,9.75,8.915238095,6.233333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.80442965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.2,38.6,38.3E
1985-12,9.675,9.317727273,6.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.18909409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.3,38.7,38.4E
1986-01,9.6,10.16478261,4.153333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.00677812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.8,39.4,38.8E
